"TIME.24.HOURS","BASE.SUB.BASE","COUNTY","ROAD","PLACE","BRIEF.ACCIDENT.DETAILS","GENDER","AGE","CAUSE.CODE","VICTIM","NO.","Date.DD.MM.YYYY","X","latitude","longitude"
"2025","MACHAKOS","MACHAKOS","MACHAKOS KITUI RD","KYUA","THE VEHICLE FAILED TO KEEP TO THE NEAR SIDE OF THE ROAD AND LOST CONTROL OF THE VEHICLE","M","A",8,"PASSENGER",4,"6/9/2016","",-1.4065565,37.7607247
"2120","NYAMIRA","KISII","IKONGE MAGWAGWA ROAD","KERUBE","THE VEHICLE LOST CONTROL WHILE NEGOTIATING A CORNER","M","30",26,"DRIVER",1,"6/9/2016","",47.7060316,-2.866812
"1800","KERICHO","KERICHO","KERICHO NAKURU","CHAGAIK","HIT AND RUN","M","35",98,"M/CYCLIST",1,"6/8/2016","",-0.3423927,35.334252
"1230","KURIA","MIGORI","KEHANCHA NTIMARU","KEHANCHA TOWN","HIT AND RUN","M","A",98,"M/CYCLIST",1,"6/8/2016","",-1.1932593,34.6200103
"1230","KURIA","MIGORI","KEHANCHA NTIMARU","KEHANCHA TOWN","HIT AND RUN","M","A",98,"P/PASSENGER",1,"6/8/2016","",-1.1932593,34.6200103
"1530","KAYOLE","NAIROBI","KANGUNDO","KAMULU","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",NA,"PEDESTRIAN",1,"6/7/2016","",-1.2826664,37.0637477
"2055","INDO AREA","NAIROBI","LUSAKA","CAR AND GENERAL","THE VEHICLE LOST CONTROL AND OVERTURNED","F","A",26,"PASSENGER",1,"6/7/2016","",50.9819653,2.584027
"30","KURIA","MIGORI","KEHANCHA NTIMARU","KEHANCHA TOWN","HIT AND RUN","M","A",98,"M/CYCLIST",1,"6/7/2016","",-1.1932593,34.6200103
"700","MARIAKANI","KILIFI","MOMBASA-NAIROBI","MAZERAS","HIT & RAN","M","41",98,"PEDESTRIAN",1,"6/6/2016","",-3.967571,39.549806
"1130","ISINYA","KAJIADO","KITENGELA-KAJIADO","STAGE 22","THE VEHICLE HIT A PEDESTRIAN WHO WAS CROSSING THE ROAD","M","A",59,"PEDESTRIAN",1,"6/6/2016","",41.86031685,-87.6891312276865
"2030","MATUU","MACHAKOS","MATUU-THIKA","KWA MAKAA","THE HILLUX FAILED TO KEEP DISTANCE AND HIT A TRACTOR","M","48",10,"PASSENGER",1,"6/6/2016","",-3.3659988,37.4188488
"1930","GARISSA","GARISSA","GARISSA ROAD","ELDERE","THE STEERING ROD BROKE, LOST CONTROL & LANDED ON THE LEFT","2M, F","A",80,"PASSENGERS",3,"6/6/2016","",38.0751225,30.2769782
"1630","LIKONI","MOMBASA","LIKONI-FERRY","FERRY TERMINUS","THE VEHICLE POWER FAILED AND ROLLED","M","A",81,"DRIVER",1,"6/6/2016","",22.3542006,114.109535284892
"745","DULTAN-HAMMUD","MAKUENI","MOMBASA-NAIROBI","NEAR SULTAN","THE SAID M/V COLLIDED HEAD ON","M","A",98,"DRIVER",1,"6/5/2016","",6.2467472,124.223102636147
"1000","BARINGO","BARINGO","NGARATUK O-SIBILO","BARINGO NORTH","THE SAID M/V COLLIDED HEAD ON WITH THE SAID M/CYCLE","M","57",98,"RIDER",1,"6/5/2016","",0.76867285,35.798034834196
"1530","LAIKIPIA","LAIKIPIA","BIASHARA STREET","NANYUKI TOWNSHIP","THE SAID M/V KNOCKED DOWN PEDESTRIAN","F","J",6,"PEDESTRIAN",1,"6/5/2016","",0.1057648,37.3981181
"2100","KIRITIRI","EMBU","EMBU-KIRITIRI","MURARU","UNKNOWN M/V KNOCKED DOWN A PEDESTRIAN","M","3",7,"PEDESTRIAN",1,"6/5/2016","",-0.63104835,37.5454295416234
"500","RUIRU","KIAMBU","THIKA ROAD","TOLL AREA","THE VEHICLE RAMMED INTO REAR OF THE M/V KBU 899Z","M","A",4,"DRIVER",1,"6/4/2016","",49.5622543,-121.4146351
"1430","MATUNDA","BUNGOMA","CHAVAKALI KILINGILI","KILINGILI","THE VEHICLE LOST CONTROL AND VEERED AND KNOCKED DOWN THE VICTIM","M","A",26,"PEDESTRIAN",1,"6/4/2016","",0.1233367,34.6812349
"1610","NYANDO","HOMA BAY","AWASI AHERO ROAD","MAGENDO","HEAD ON COLLISION","M","A",26,"M/CYCLIST",1,"6/4/2016","",-0.1706915,34.9627072
"1610","NYANDO","HOMA BAY","AWASI AHERO ROAD","MAGENDO","HEAD ON COLLISION","M","A",26,"P/PASSENGER",1,"6/4/2016","",-0.1706915,34.9627072
"2000","STAREHE","NAIROBI","THIKA SUPER HIGHWAY","MUTHAIGA FOOT BRIDGE","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"6/4/2016","",-1.2636431,36.8375973
"1800","TIMBOROA","UASIN GISHU","ELDORET NAKURU","TIMBOROA","HEAD ON COLLISION","F","J",19,"PASSENGER",1,"6/4/2016","",0.0629624,35.5467063
"1930","KISII","KISII","KISII MARANI","NYATIEKO","THE VEHICLE COLLIDED WITH A M/CYCLE","M","A",98,"P/PASSENGER",2,"6/4/2016","",-0.4367868,34.9880366
"1930","KISII","KISII","KISII MARANI","NYATIEKO","THE VEHICLE COLLIDED WITH A M/CYCLE","M","A",98,"M/CYCLIST",1,"6/4/2016","",-0.4367868,34.9880366
"2230","WEBUYE","BUNGOMA","WEBUYE KITALE ROAD","MISIKHU","THE CYCLE KNOCKED DOWN THE VICTIM","F","60",7,"PEDESTRIAN",1,"6/4/2016","",0.7147578,34.7547937
"2200","ONGATA RONGAI","NAIROBI","GATAKA DIVERSION","GATAKA","THE VEHICLE LOST CONTROL AND SLID INTO A QUARRY","M","A",26,"PASSENGER",1,"6/4/2016","",-2.340081,29.1073222403433
"500","BUNGOMA","BUNGOMA","BUNGOMA WEBUYE ROAD","SIKATA","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"6/2/2016","",0.5933317,34.5707859
"2300","NAKURU","NAKURU","NAIROBI NAKURU","STATE HOUSE","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"6/2/2016","",-1.2828612,36.8021359935617
"2340","KAJIADO","KAJIADO","KAJIADO MURRAM ROAD","MAILI","THE VICTIM WAS RAN OVER BY THE VEHICLE","M","A",98,"PASSENGER",1,"6/2/2016","",16.3700359,-2.2900239
"725","KITENGELA","KAJIADO","KITENGELA ISINYA ROAD","KITENGELA TOWN","THE VEHICLE RAMMED INTO THE TRI CYCLE AND RAMMED INTO THE KAZ","M","A",35,"PASSENGER",1,"6/1/2016","",-1.474564,36.95907
"2030","EMBAKASI","NAIROBI","OUTERING ROAD","FEDHA ESTATE","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"6/1/2016","",-1.31544,36.8950289
"815","BOMET","BOMET","BOMET NAROK","MULOT","HEAD ON COLLISION","M","A",NA,"DRIVER",1,"4/30/2016","",-0.938405,35.4216997
"2100","SALAMA","MAKUENI","NAIROBI MOMBASA","KIONGWANI","","M","A",NA,"DRIVER",1,"4/30/2016","",-1.9185822,37.2960506
"2045","GILGIL","NAKURU","GILGIL NAKURU","JAKARANDA","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"4/30/2016","",-25.6474855,27.6961054
"2230","KAYOLE","NAIROBI","KANGUNDO","KWA POWER","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PEDESTRIAN",1,"4/30/2016","",22.3163649,114.1894026
"2330","STAREHE","NAIROBI","MURANGA","NAIROBI WATER","HIT AND RUN","M","A",63,"PEDESTRIAN",1,"4/30/2016","",-1.2900739,36.8172081207116
"2300","DAGORETI","NAIROBI","WAIYAKI","NAIROBI SCHOOL","THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY","M","A",26,"PASSENGER",1,"4/30/2016","",-1.2592519,36.765108385727
"355","EMBAKASI","NAIROBI","MOMBASA","FAW","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"4/30/2016","",-23.9164094,29.4422092
"UNKNOWN TIME","MAKINDU","MAKUENI","MUSYINI KYULU MURRAM ROAD","KAMBU AREA","HIT AND RUN","M","30",98,"PEDESTRIAN",1,"4/29/2016","",-8.586376,118.7968228
"1600","MACHAKOS","MACHAKOS","WITHIN MACHAKOS TOWN","BUS STAGE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","3",98,"PEDESTRIAN",1,"4/29/2016","",43.20553375,-77.6242160960145
"2030","KILIMANI","NAIROBI","PROFESSIONAL ROAD","NEAR STATE HOUSE","THE VEHICLE RAMMED INTO THE REAR","M","49",29,"DRIVER",1,"4/29/2016","",38.18343205,-76.4323780522074
"1720","EMBAKASI","NAIROBI","NORTH AIRPORT ROAD","TRANSAMI AREA","THE VEHICLE KNOCKED DOWN THE VICTIM","M","28",63,"PEDESTRIAN",1,"4/29/2016","",0.3061858,32.6138539643612
"945","LAIKIPIA","LAIKIPIA","NANYUKI NYERI","EQUATOR","THE FIELDER RAMMED INTO THE STATIONARY VEHICLE","M","A",29,"DRIVER",1,"4/26/2016","",-1.3397668,-79.3666965
"1030","KERICHO","KERICHO","KERICHO NAKURU","DUKA MOJA","THE CYCLE WAS HIT BY THE LORRY","M","26",98,"M/CYCLIST",1,"4/26/2016","",-1.1046753,36.2043792
"1210","HOMA BAY","HOMA BAY","RODI KOPANY RANGWE","TAUSI","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","F","11",NA,"PEDESTRIAN",1,"4/26/2016","",-2.5171404,32.9009628
"1100","MUMIAS","KAKAMEGA","MATUNGU PANYA","PATH ROUTE","THE VICTIM WAS ON TOP OF A TREE WHEN HE FELL DOWN ONTO THE TRUCK","M","5",64,"PEDESTRIAN",1,"4/26/2016","",44.2484066,-72.5651092
"800","EMBAKASI","NAIROBI","MOMBASA","CABANAS","THE LORRY KNOCKED DOWN THE M/CYCLIST","M","A",NA,"P/PASSENGER",1,"4/26/2016","",44.1855114,2.3050878
"2200","KISII","KISII","KISII KISUMU","NYAMATARO","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PEDESTRIAN",1,"4/26/2016","",-0.6511753,34.752011
"1630","KIKUYU","KIAMBU","NAIROBI KIKUYU","KINOO","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","A",14,"PEDESTRIAN",1,"4/26/2016","",49.8711879,18.4283763
"1300","KOIBATEK","BARINGO","ELDAMA RAVINE SAOS","KAPTANA","THE VEHICLE HIT THE M/CYCLIST","M","19",10,"M/CYCLIST",1,"4/24/2016","",1.409724,34.401317
"2245","ONGATA RONGAI","KAJIADO","NAIROBI MAGADI","SISA PUB","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","15",8,"PEDESTRIAN",1,"4/24/2016","",41.5120688,20.9549595
"1750","KABRAS","KAKAMEGA","KAKAMEGA WEBUYE","MSALABA","THE CYCLE RAMMED INTO THE MATATU","M","A",8,"M/CYCLIST",1,"4/23/2016","",-7.11357045,30.5096252974457
"1750","KABRAS","KAKAMEGA","KAKAMEGA WEBUYE","MSALABA","THE CYCLE RAMMED INTO THE MATATU","M","A",8,"P/PASSENGER",1,"4/23/2016","",-7.11357045,30.5096252974457
"2050","RUIRU","KIAMBU","NORTHERN BY PASS","ROLEX AREA","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","A",60,"PEDESTRIAN",1,"4/23/2016","",22.3695482,114.1167616
"2139","EMBU","EMBU","EMBU MANYATTA","MANYATTA MARKET","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","35",98,"PEDESTRIAN",1,"4/20/2016","",-0.0975554,34.7785944
"700","NAIVASHA","NAKURU","MAI MAHIU NAIVASHA","KOSOVO AREA","THE SCANIA TRAILER RAMMED INTO BEIBEN TRAILER","M","A",10,"DRIVER",1,"4/19/2016","",-4.4301339,30.3250235
"2000","GIGIRI","NAIROBI","LOWER KABETE","NEAR SHELL PETROL STATION","THE VEHICLE KNOCKED DOWN THE VICTIM","M","60",14,"PEDESTRIAN",1,"4/18/2016","",40.80421095,-77.8874231384152
"2130","BARINGO","BARINGO","MARIGAT LORUK","LORUK","THE SAID M/V VEERED OFF THE ROAD LANDING ON RIGHT SIDE OF THE ROAD","M","28",26,"DRIVER",1,"4/17/2016","",0.712903,36.031113
"1730","MWEA","EMBU","MWEA EMBU","KIRINYAGA","THE SAID M/V KNOCKED DOWN A PEDESTIAN","F","9",36,"PEDESTRIAN",1,"4/17/2016","",-0.46887805,37.3027681039324
"1615","SALGA","NAKURU","NAKURU ELDORET","NAKURU TEACHERS COLLEGE","THE SAID M/V KNOCKED DOWN A PEDESTIAN","M","12",63,"PEDESTRIAN",1,"4/17/2016","",-0.286191,36.0741788
"1930","MAKUPA","MOMBASA","MAKUPA CUSE WAY","DUMPING SITE","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"4/17/2016","",-25.83933925,28.2745099466555
"2200","GARISSA","GARISSA","GARISSA MWINGI","MADOGO","THE SAID M/CYLIST COLLIDED HEAD ON WITH A M/V","M","A",98,"M/CYCLIST",1,"4/17/2016","",-0.472235,39.6062819
"800","DTEO STAREHE","NAIROBI","JUJA","OLYMPIC PETROL STATION","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"4/16/2016","",-1.2657306,36.857181
"700","AWENDO","MIGORI","AWENDO MIGORI","LWALA","THE FIELDER RAMMED INTO THE MITSUBISHI","M","18",29,"DRIVER",1,"4/15/2016","",2.5885329,32.8504959
"1200","MOI'S BRIDGE","TRANS NZOIA","KITALE ELDORET","CHEMOSIT","THE M/CYCLE WAS HIT BY THE MATATU","M","50",10,"M/CYCLIST",1,"4/15/2016","",-0.5396386,35.9962622
"1900","KILIFI","KILIFI","KILIFI MALINDI","MKOROSHONI","THE VEHICLE KNOCKED DOWN THE M/CYCLIST","M","17",26,"M/CYCLIST",1,"4/15/2016","",-10.271897,40.1629498
"10","NAKURU","NAKURU","NAKURU NAIROBI","STATE HOUSE","THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH","M","A",26,"DRIVER",1,"4/15/2016","",-1.2828612,36.8021359935617
"120","RUIRU","KIAMBU","EASTERN BY PASS","ROLEX","HIT AND RUN","M","A",61,"PEDESTRIAN",1,"4/15/2016","",50.7692905,0.2835926
"2100","LUANDA","VIHIGA","KISUMU BUSIA","MAGHARIBI FILLING STATION","THE VEHICLE KNOCKED DOWN THE VICTIM","M","50",29,"PEDESTRIAN",1,"4/15/2016","",6.1901843,-2.3251673
"700","DTEO STAREHE","NAIROBI","MURANGA","K.I.E","THE VICTIM ALIGHTED WHILE THE VEHICLE WAS IN MOTION","M","A",69,"PASSENGER",1,"4/14/2016","",40.95885815,-5.68431800852257
"2000","MAKUPA","MOMBASA","MAKUPA CAUSEWAY(KIPARANI)","NEAR RAILWAY BRIDGE","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","A",63,"PEDESTRIAN",1,"4/14/2016","",51.5509491,-0.2045877
"2215","SULTAN HAMUD","MACHAKOS","NAIROBI MOMBASA","SALAMA TRADING CENTRE","HIT AND RUN","M","43",98,"PEDESTRIAN",1,"4/14/2016","",0.8465915,34.4147014
"2315","NYANDO","HOMA BAY","AHERO KISUMU","NEAR AWASI","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","M","A",60,"PEDESTRIAN",1,"4/14/2016","",-0.2283721,35.1563041
"945","MTWAPA","KILIFI","MOMBASA KILIFI","MTWAPA BRIDGE","HIT AND RUN","M","28",98,"M/CYCLIST",1,"4/13/2016","",-3.9560731,39.7409581
"1105","LARI","KIAMBU","NAIVASHA NAIROBI","KIMENDE AREA","THE KBN 174V HIT THE OTHER VEHICLE","F","A",15,"PASSENGER",1,"4/12/2016","",-0.9824788,36.6317688024608
"645","LIKONI","MOMBASA","UKUNDA LIKONI","MANYATTA AREA","THE CYCLE LOST CONTROL AND FELL DOWN","F","3 MONTHS",10,"P/PASSENGER",1,"4/12/2016","",-0.0912461,34.7592883
"1630","NAIVASHA","NAKURU","NAIROBI NAKURU","KCC","THE CYCLE HIT THE GUARD RAIL OF THE TRAILER AND FELL DOWN","M","A",10,"M/CYCLIST",1,"4/11/2016","",22.30506575,114.174002146848
"2000","INDO AREA","NAIROBI","MOMBASA","VISION PLAZA","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"4/11/2016","",-1.3269624,36.8525462
"1140","MAKUENI","MAKUENI","MOMBASA NAIROBI","KAMBU AREA","THE VEHICLE RAMMED INTO THE TRAILER","M","40",29,"DRIVER",1,"4/10/2016","",-8.586376,118.7968228
"1105","BUNGOMA","BUNGOMA","BUNGOMA MUMIAS","KABULA AREA","THE VEHICLE HIT THE M/CYCLIST","M","A",36,"M/CYCLIST",1,"4/10/2016","",-0.3450522,31.1479284
"1105","BUNGOMA","BUNGOMA","BUNGOMA MUMIAS","KABULA AREA","THE VEHICLE HIT THE M/CYCLIST","M","A",36,"P/PASSENGER",1,"4/10/2016","",-0.3450522,31.1479284
